Resultados ;Column1;Descripcion;Enlace;Figuras;Informacion adicional
Tecnologías y modelos;SPARQL-DQP;"Este sistema implementa la extensión para la federación de consultas de SPARQL 1.1, extendiendo el sistema OGSA-DAI/DQP. Además, optimiza la ejecución de las consultas, trabajo realizado por SPARQL-DQP. Para ello, primero se identifican una serie de patrones bien diseñados (descritos en [1] and [2]) y si dichos patrones son identificados el sistema utiliza una serie de reglas de escritura que mejoran el tiempo de ejecución de las consultas.

[1] J. Pérez, M. Arenas and C. Gutierrez, Semantics and complexity of SPARQL, TODS 34(3), 2009
[2] Semantics and optimization of the SPARQL 1.1 federation extension, Carlos Buil Aranda, Marcelo Arenas, Oscar Corcho. Extended Semantic Web Conference (ESWC2011), Semantic Data Management track, 2011. Best paper award. https://oeg.fi.upm.es/files/pdf/eswc11paper.pdf.
[3] Federating Queries in SPARQL1.1:Syntax, Semantics and Evaluation, Carlos Buil-Aranda, Marcelo Arenas, Oscar Corcho, Axel Polleres.http://www.websemanticsjournal.org/index.php/ps/article/view/321. ";http://videolectures.net/eswc2011_corcho_extension/;;
Tecnologías y modelos;vocab-express;"Hasta ahora, los principios y buenas prácticas de Linked Data están siendo adoptadas por un número creciente de proveedores de datos, teniendo como resultado una base de datos global en la Web que contiene cientos de conjuntos de datos LOD. En este contexto es importante promover la re-utilización y enlazado de conjuntos de datos, y para este fin, es necesario conocer la estructura de los conjuntos de datos. Un primer paso para conocer la estructura de un conjunto de datos es explorar el vocabulario utilizado por el conjunto de datos, y como el conjunto de datos está utilizando ese vocabulario.
vocab-express es una herramienta simple para explorar el vocabulario utilizado en un conjunto de datos dado. La herramienta provee toda la información relacionada del vocabulario:
1 la lista de todas las clases
2 la lista de todas las properties
3 el número de instancias de cada clase
4 el número de instancias de cada property
5 el lenguaje de las etiquetas y comentarios de los elementos del vocabulario.
vocab-express está siendo implementado en node.js, que es una plataforma construida sobre V8 (Google's open source JavaScript engine) para construir aplicaciones de red rápidas y escalables. La figura muestra el flujo de información de vocab-express.";;https://oeg.fi.upm.es/images/stories/tecnologias/vocab-express.jpg;
Tecnologías antiguas;NOR2O;"NOR2O ya no está siendo utilizado, ni es mantenido por el grupo.

NOR2O es una librería para la transformación de recursos no ontológicos en ontologías. Los recursos no-ontológicos (NOR) son recursos de conocimiento cuya semántica no ha sido todavía formalizada en una ontología. Hay una gran cantidad de NORs que incorporan conocimientos sobre algunos dominios particulares y que representan algún grado de consenso.
En el contexto de la Metodología NeOn, proponemos un método general para la re-ingeniería de recursos no-ontológicos en ontologías. Se basa en  un patrón de re-ingeniería que define un procedimiento para transformar los componentes de un recurso no-ontológico en primitivas de una ontología, utilizando WordNet para desambiguar las relaciones implícitas de los componentes del NOR.
La figura 1 muestra el diagrama de arquitectura de alto nivel conceptual de los módulos implicados. El NOR connector carga los esquemas de clasificación, tesauros y lexicones con sus correspondientes modelos de datos e implementados en bases de datos, XML, ficheros de texto plano y hojas de cálculo..
El Transformer lleva a cabo la transformación propuesta por los patrones. Este módulo interactúa con el módulo Semantic Relation Disambiguator para obtener la semántica de las relaciones de los elementos NOR.
El Semantic Relation Disambiguator se encarga de obtener la semántica de las relaciones entre dos elementos NOR. Básicamente, el módulo recibe dos elementos NOR del módulo Transformer y devuelve la semántica entre ellos. El módulo conecta el recurso externo a través del módulo External Resource Service para obtener la relación.
El External Resource Service  se encarga de interactuar con los recursos externos para obtener la semántica de las relaciones entre elementos NOR. Actualmente el módulo interactúa con WordNet. Estamos implementando el acceso a DBpedia.
El OR Connector  genera la ontología en OWL Lite. Para ello, utiliza la OWL API. Finalmente, para concluir la descripción de la librería de software, conviene mencionar que la implementación de esta libraría sigue un enfoque modular, por lo tanto, es posible extenderla para incluir otros tipos de NOR, modelos de datos e implementaciones de una manera sencilla, así como la explotación de otros recursos externos para la desambiguación de relaciones.";;https://oeg.fi.upm.es/images/stories/tecnologias/nor2o.png;
Tecnologías antiguas;ODESeW;"ODESeW ya no está siendo utilizado ni mantenido por nuestro grupo.

ODESeW (Semantic Web Portal based on WebODE platform) es una aplicación basada en ontologías que genera automáticamente y gestiona portales de conocimiento para intranets y extranets. ODESeW está construido dentro de la plataforma de ingeniería de ontologías WebODE y provee las siguientes funcionalidades:
-Modela conocimiento mediante una plataforma de desarrollo de ontologías que entregra un conjunto de servicios de desarrollo de ontologías. Así como el portal de conocimiento se va a usar en la web, es altamente recomendado que use un servidor de ontologías (y no un editor de ontologías ejecutado de forma aislada) que permita construir ontologías de forma colaborativa así como dar acceso a los ontologías mediante internet. La construcción del portal sobre un servidor de ontologías facilita la sincronización de la información acorde a los cambios de las ontologías. Desde una perspectiva software, el portal se beneficia de los servicios presentes y futuros del servidor de ontologías.
-Edición e inserción de contenido mediante edición de instancias de ontologías. ODESeW permite insertar, actualizar y borrar instancias de clases, sus atributos y sus relaciones en una red de ontologías interrelacionadas y con diferentes permisos de edición para los usuarios del portal. Como parte de la edición de instancias, ODESeW puede ser utilizado como una herramienta de gestión documentacional en la que permite manejar documentos electrónicos.
-Visualización de contenido mediante visualizaciones para los usuarios de ontologías, relaciones e instancias altamente configurables. La ontologías es utilizada como índice de la información insertada y para navegar atreves de esta. El contenido almacenado en el portal puede ser accedido dinámicamente mediante minués generados por las ontologías acorde a los permisos del usuario, visualizando así las distintos tipos de información introducidos en el portal. El portal de conocimientos también provee anotación de su contenido en RDF(S), , DAML+OIL y OWL.
-Búsqueda y consultas del contenido basada en una aproximación híbrida entre ontologías y búsqueda por palabras. El modulo de búsquedas y consultas utiliza al interfaz de acceso de WebODE para acceder y consultar contenido de las ontologías.
-Servicios que facilitan la administración, que permiten gestionar los usuarios del portal, los permisos de edición y visualización, otros elementos de gestión del portal. Estos servicios puede ser solamente accedidos por aquellos usuarios que pertenecen al grupo de administración del portal.
-Como una ventaja importante de ODESeW frente a otros portales de conocimiento similares es la automática sincronización del portal y de las ontologías en las que se basa. Así, si una ontología es modificada dentro del editor de ontologías WebODE, los cambios se ven automáticamente reflejados en el portal, tanto como la conceptualización misma de la ontologías como de sus instancias.";;;
Tecnologías antiguas;OWLDoc;"OWLDoc es un plug-in desarrollado dentro del proyecto NeOn. Este plug-in está implementado para la herramiento NeOn Toolkit y su función es añadir una opción al menú de exportación de la herramienta para generar documentos HTML a partir de una ontology OWL.
El plug-in utiliza el OWL API para extrar la información de la ontología OWL y crear una salida que contiene, de manera organizada, un conjunto de ficheros HTML que proporcionan la documentación acerca de la ontología y todos sus recursos.
Para descargar OWLDoc, es necesario disponer de NeOn Toolkit que se puede descargar desde la página principal del proyecto NeOn Toolkit. Una vez descargada la herramienta e instalada, mediante el update site que proporciona la herramienta, podrá descargarse el plug-in OWLDoc. La documentación de uso está disponible en la herramienta una vez descargado el plug-in e instalado.";;;
Tecnologías antiguas;R2O y ODEMapster;"R2O & ODEMapster ya no está siendo utilizado, ni realizamos mantenimiento alguno en el grupo, puesto que ha sido reemplazado por el paquete de herramientas morph, que incluye morph-RDB, morph-GFT y morph-streams.
R2O & ODEMapster es un marco integrado para la expresión formal, la evaluación, verificación y explotación de correspondencias semánticas entre ontologías y bases de datos relacionales. El marco integrado está compuesto por:
-R2O, un lenguaje formal declarativo con expresividad suficiente como para representar situaciones de correspondencia complejas debidas al hecho de que se alinean dos modelos desarrollados y mantenidos de forma independiente y entre los que pueden darse disparidades de todo tipo.
-ODEMapster, procesador que se encarga del proceso de upgrade o enriquecimiento semántico del contenido de la base de datos o mediante la extracción bajo demanda del contenido de la base de datos en respuesta a preguntas planteadas en términos de la ontología mediante un proceso de re-escritura de consultas.
Por otro lado, ODEMapster plugin, desarrollado dentro el contexto del proyecto NeOn, proporciona una interfaz gráfica que permite crear, ejecutar o realizar consultas de ""mappings"" R2O. Este plugin está incuido en el NeOn Toolkit.
Para utilizar ODEMpaster plugin, primero hay que instalar NeOn Toolkit. NeOn Toolkit puede descargarse desde www.neon-toolkit.org. Una vez descargado, ejecute el fichero y siga las instrucciones.
Después de instalar NeOn Toolkit, el siguiente paso es instalar ODEMapster plugin. Este paso se puede realizar mediante las siguientes acciones:
1 Abrir Neon Toolkit.
2 Desde el menú Help de Neon Toolkit, elegir “Software Updates” --> “Find and Install”.
3 Una ventana Install/Update aparecerá en Neon Toolkit.
-Si ha instalado este plugin anteriormente, selecciones: “Search for update”
-Si no ha instalado este plugin anteriormente, seleccione: “Search for new features”
-Seleccione “Neon Toolkit Update Site” entre los posibles sitios de actualización y pulse finish
-Seleccione “ODEMapster” dentro de “Ontology Population” y presione next
-Seleccione “Agree” en el acuerdo de licencia.
-Pulse “Finish” en la ventana de instalación..
Para una información más completa, consulte el manual de ODEMapster. http://geo.linkeddata.es/c/document_library/get_file?uuid=2a944333-4cd6-4ff1-aaab-68f62fbf0d3c&groupId=10136
 ¿Cómo funciona?
Para la ontología hydrOntology y cada una de las bases de datos del IGN se creó un documento R2O que describe los mappings entre cada base de datos y la ontología. A continuación, se ejecutó el procesador ODEMapster para generar las instancias RDF.  Las bases de datos del IGN están almacenadas en MySQL y ORACLE e hydrOntology está en OWL.";;https://oeg.fi.upm.es/images/stories/odemapsterprocess.png   https://oeg.fi.upm.es/images/stories/igndatasets.png;"Lista de usuarios de ODEMapster
FAO - http://fao.org
Guntars Bumars - University of Latvia - Institute of Mathematics and Computer Science - http://www.lumii.lv/Pages/computer.htm
Christian M. Fletcher - Department of Computer Science - Durham University - http://www.dur.ac.uk/ecs/computing.science/undergraduate09/whatis/
iSOCO - www.isoco.com
GIS4GOV project
SemSorGrid4Env - http://www.semsorgrid4env.eu/
GeoLinkedData - http://geo.linkeddata.es/
WEB n+1 - http://www.webenemasuno.es"
Tecnologías antiguas;WebODE;"WebODE ya no está siendo utilizado ni mantenido por nuestro grupo desde 2006.

WebODE es un suite extensible de ingeniería de ontologías basada en un servidor de aplicaciones que empezó en 1999. El núcleo de WebODE es su servicio de acceso a sus ontologías, utilizado por todos los demás servicios y aplicación acopladas al servidor. El editor de ontologías WebODE permite editar y navegar por las ontologías, y esta basada en formularios HTML y applets de Java.

WebODE fue construido como una plataforma escalable, extensible e integrada que cubre y da soporte a la mayoría de las actividades involucradas en el proceso de desarrollo de ontologías (conceptualización, razonamiento, intercambio, etc.) y provee un conjunto de servicios relaciones a las ontologías que permite interoperar con otros sistemas de información. Entre estos servicios, la plataforma integra servicios para la importación y exportación de lenguajes de ontologías (XML, RDF(S), OIL, DAML+OIL, OWL, CARIN, FLogic, Jess, Prolog), para la edición de axiomas mediante WAB (WebODE Axiom Builder), para generar documentación, para evaluar, para controlar la evolución, para extraer ontologías, para juntarlas y un motor de inferencia.

La publicación más relevante es Most relevant publications:

WebODE in a nutshell. AI Magazine 2003.";;https://oeg.fi.upm.es/images/stories/tecnologias/webode.png;
Tecnologías antiguas;WS-DAIOnt-RDF(S);"WS-DAIOnt-RDF(S) ya no está siendo utilizado ni mantenido por nuestro grupo.

WS-DAIOnt-RDF(S) es una especificación que define un mecanismo de acceso a ontologías RDF(S) utilizando una aproximación orientada a servicios. Esta especificación, compatible con la arquitectura OGSA, define el conjunto de recursos de datos, mensajes e interfaces de acceso necesarios para la integración de ontologías en RDF (S) en cualquier aplicación (Grid) orientada a servicios.  RDF(S) Grid Access Bridge  (RGAB) es la implementación de referencia de dicha especificación. Esta implementación desacopla el mecanismo de acceso de la ubicación física real de las ontologías RDF(S) así como del sistema de almacenamiento utilizado para su persistencia.
De esta forma, las ontologías RDF (S) pueden ser almacenadas en un conjunto distribuido de sistemas de almacenamiento de RDF (S) y hacerse accesibles mediante los mecanismos de acceso definidos por la especificación WS-DAIOnt-RDF (S).";;;
Servicios;esDBpedia;"DBpedia ocupa un lugar central  en la Web de Datos por el importante volumen de datos semánticos que proporciona a partir de la información contenida en los infoboxes (Fichas en español) de la Wikipedia del idioma inglés. La última versión de DBpedia (v3.9, septiembre de 2013) proporciona datos semánticos de 4 millones de entidades, de las que 3.2 millones están clasificadas conforme a la ontología DBpedia: Personas (832 mil),  Lugares (639 mil), Discos musicales (116 mil), y un largo etcétera (529 claes y 2333 propiedades).
A partir de los 30 millones de artículos en 240 idiomas que almacena Wikipedia (4.4 millones en inglés, 1.1 millones en español), DBpedia genera 2460 millones datos semánticos (tripletas RDF) en 119 idiomas (470 millones en inglés, y 100 millones en español).
Hasta julio de 2011 (versiones DBpedia anteriores a la v3.7), sólo se extraía información de una página en español de la Wikipedia si se apuntaba a ella desde la versión inglesa. Por tanto, muchas páginas con información local relevante (e.g. pueblos, ríos, organizaciones) a la que no se podía llegar desde la versión inglesa de Wikipedia, quedaban fuera del proceso de extracción de DBpedia. En julio de 2011, la versión 3.7 de DBpedia se construyó usando un nuevo mecanismo de extracción que rompía con la dependencia de la versión inglesa de Wikipedia, permitiendo generar, adicionalmente, información semántica a partir de las versiones de Wikipedia en 15 idiomas, entre ellos el español (ca, de, el, es , fr, ga, hr, hu, it, nl, pl, pt, ru, sl, tr). La versión 3.8 de DBpedia (junio 2012) amplió la lista de idiomas a 111, y la versión actual (3.9) llegó a los 119 idiomas.

Jornadas de mapeos
Sin embargo, para que la Web de Datos se enriquezca con la información contenida en la versión española de la Wikipedia, es necesario un esfuerzo colectivo importante a fin de aumentar el número de mapeos de Fichas. DBpedia pone a disposición de la comunidad herramientas web para editar estos mapeos en los que se indica la correspondencia entre términos de las Fichas y los términos de la ontología de DBpedia. La I Jornada esDBpedia  logró mapear el 80% de los datos de la wikipedia del idioma español y permitió la creación de es.dbpedia.org, el capítulo español de DBpedia en mayo de 2012. La II edición de las jornadas (diciembre de 2012) se centró en mejorar la calidad de los mapeos.";;;
Metodologías;La Metodología NeOn;"La Metodología NeOn para la construcción de redes de ontologías es una metodología basada en escenarios que se apoya en los aspectos de colaboración de desarrollo de ontologías y la reutilización, así como en la evolución dinámica de las redes de ontologías en entornos distribuidos. Las claves de la Metodología NeOn son:
-Un conjunto de nueve escenarios para la construcción de ontologías y redes de ontologías, haciendo hincapié en la reutilización de los recursos ontológicos y no ontológicos, la reingeniería y la fusión, y teniendo en cuenta la colaboración y el dinamismo.
-El Glosario de Procesos y Actividades identifica y define aquellos procesos y actividades involucrados en el desarrollo de redes de ontologías.
-Directrices metodológicas para diferentes procesos y actividades del proceso de desarrollo de la ontología de la red, tales como la reutilización y la reingeniería de los recursos ontológicos y no ontológicos, la especificación de los requisitos de la ontología, la localización de la ontología, la programación, etc. Todos los procesos y actividades se describen con (a) una tarjeta llena, (b) un flujo de trabajo, y (c) ejemplos.

Escenario 1: Desde la especificación de la aplicación. La red de ontologías se desarrolla a partir de cero (sin volver a utilizar los recursos existentes). Los desarrolladores deben especificar los requisitos de la ontología (enlace a las directrices). Después de eso, se asesora para llevar a cabo una búsqueda de recursos potenciales para ser reutilizados. A continuación, la actividad de planificación se debe realizar (enlace a las directrices), y los desarrolladores deben seguir el plan.
Escenario 2: La reutilización y reingeniería de los recursos no ontológicosc (NOR). Los desarrolladores deben llevar a cabo el proceso de reutilización NOR para decidir, de acuerdo con los requisitos de la ontología, que NORs pueden ser reutilizados para construir la red de la ontología. A continuación, los NORs seleccionados deben ser volver al proceso de re-ingeniería ontológicas. Las directrices se presentan en el enlace de directrices.
Escenario 3: La reutilización de los recursos ontológicos. Los desarrolladores utilizan recursos ontológicos (ontologías como un conjunto de módulos ontológicos (enlace a las directrices enlace 1, enlace 2), y / o declaraciones ontológicas (enlace a las directrices)) para construir redes de ontologías.
Escenario 4: La reutilización y re-ingeniería de los recursos ontológicos. Los desarrolladores de ontologías reutilizan los recursos y reorganizar los recursos  ontológicos.
Escenario 5: La reutilización y la fusión de los recursos ontológicos. Este escenario se produce cuando varios recursos ontológicos en el mismo dominio que se seleccionan para su reutilización, y los desarrolladores desean crear un nuevo recurso ontológico con los recursos seleccionados. Las directrices se presentan en el enlace de directrices.
Escenario 6: Reutilización, la fusión y re-ingeniería de los recursos ontológicos. Los desarrolladores de ontologías reutilizan, combinan y reorganizan los recursos-ontológicos. Este escenario es similar al Escenario 5, pero en este caso los desarrolladores deciden reorganizar el conjunto de recursos combinados.
Escenario 7: Reutilización de los patrones de diseño de ontologías (ODPs). Los desarrolladores de ontologías acceden a repositorios de reutilización ODPs.
Escenario 8: Reestructuración de recursos ontológicos. Los desarrolladores de ontologías reestructuran (modularizan, podan, extienden y / o especializan) recursos ontológicos que deben integrarse posteriormente en la red de ontologías.
Escenario 9: Localización de recursos ontológicos. Los desarrolladores de ontologías adaptan una ontología a otras lenguas y la cultura las comunidades, obteniendo así una ontología multilingüe. Las directrices se presentan en el enlace de directrices.";http://oa.upm.es/3879/;https://oeg.fi.upm.es/images/stories/tecnologias/neonmethodology.png;
Linked data;LinkedData.es;LinkedData(.es) es una sitio web en el que se pueden consultar, de una manera rápida, las iniciativas, proyectos, colaboraciones y aplicaciones desarrolladas por el grupo en el ámbito de los Datos Enlazados. Como se puede observar, el grupo ha desarrollado y sigue desarrollando trabajos en diferentes dominios (geográfico, cultural, datos abiertos etc) tanto con instituciones públicas (BNE, RTVE, IGN, etc) como con empresas privadas (Grupo PRISA). También nos encargamos de la DBpedia en español, esDBpedia. ;http://linkeddata.es/;;
Linked data;GeoLinked Data;"GeoLinked Data (.es) es una iniciativa para el enriquecimiento de la Web de los Datos con datos geoespaciales del territorio nacional español. Esta iniciativa se puso en marcha en el año 2008 con la publicación de diversas fuentes de información geográfica procedentes del Instituto Geográfico Nacional español, haciéndolas disponibles como bases de conocimiento RDF (Resource Description Framework) conforme a los principios de Linked Data.
De esta manera, España se sumaba en dicho momento a la iniciativa que otros países como el Reino Unido habían comenzado también.
Algunos de los productos que se obtuvieron como resultado de este trabajo fueron los siguientes:
-geometry2rdf, una librería para la generación de RDF geográfico. Esta librería fue utilizada como base para la generación de la librería TripleGeo, que se ha utilizado para la generación de RDF geográfico de un gran número de fuentes de datos geográficas europeas.
-map4RDF, para la visualización de datos geográficos enlazados, disponibles en un punto de acceso SPARQL.
Desde entonces, desde nuestro grupo hemos continuado trabajando en la mejora de estas herramientas, con el objetivo de ofrecer un conjunto de sistemas que puedan ser utilizados para la generación de RDF geográfico, de acuerdo con las lecciones aprendidas por la comunidad internacional en estos primeros pasos, así como teniendo en cuenta los principales resultados del grupo de trabajo del W3C sobre Spatial Data on the Web.
Así, hemos trabajado en crear un plugin para GeoKettle que hace uso y extiende la librería TripleGeo, y en estos momentos (año 2017), estamos trabajando en la reedición de una nueva versión del portal de datos geográficos y de Linked Data Geográfico, basado en la base de datos BTN100, que incorpora todos estos avances realizados en los últimos años. La descripción de este portal se actualizará una vez que se haya desplegado esta nueva versión a finales del año 2017.";;;
Material utilizado en artículos;Detecting common scientific workflow fragments using templates and execution provenance;"La evaluación del artículo ""Detecting common scientific workflow fragments using templates and execution provenance"" aceptado en K-CAP 2013 se encuentra disponible en el siguiente link. Los datos expuestos consisten en los grafos que se han utilizado como entrada para el experimento (derivados del SPARQL endpoint público de Wings), los resultados y logs obtenidos por el algoritmo SUBDUE durante su ejecución y algunas estadísticas y hojas excel resumiendo dichos resultados (por ejemplo, destacando el  número de estructuras que son independientes, contando aquellas que son relevantes, etc.).

Si está interesado en obtener más información puede leer el siguiente artículo: Daniel Garijo, Oscar Corcho y Yolanda Gil. Detecting common scientific workflow fragments using templates and execution provenance. K-CAp 2013, Banf, Canada.";https://www.oeg-upm.net/files/dgarijo/kcap2013Eval;;
Material utilizado en artículos;Semantic Grounding of Tags (sem4tags);Se publican los datos de la evaluación de las asociaciones de entidades semánticas producidas por sem4tags y sus variaciones para las etiquetas extraídas de Flickr (link a conjunto de datos).  Las evaluaciones están en un archivo CSV donde los diferentes campos que componen la evaluación están separados por el carácter “|”. Cada fila en este archivo representa una evaluación individual de la asociación de una entidad semántica a una etiqueta. Recuerde que cada asociación semántica fue evaluada por al menos tres evaluadores. Finalmente, se recomienda leer el archivo readme donde se explica en detalle cada uno de los atributos que describen cada evaluación. Para cualquier duda acerca de este conjunto de datos se puede contactar a Andrés García-Silva;;;
Material utilizado en artículos;Characterising Emergent Semantics in Twitter Lists;"El siguiente conjunto de datos contiene los datos de las listas de Twitter que han sido utilizados en los experimentos presentados en el artículo ""Characterising Emergent Semantics in Twitter Lists"" del 9th Extended Semantic Web Conference (ESWC 2012). Los datos se encuentran en una archivo de respaldo de una base de datos mysql version 5.5.14 que contiene información de las listas y de los distintos tipos de usuarios que interactúan con ellas. Además hemos incluido un diagrama entidad relación que representan las tablas que contienen la información.
Por favor si usted usa este conjunto de datos cite la siguiente referencia: García-Silva A., Kang J.H., Lerman K and Corcho O. Characterising Emergent Semantics in Twitter Lists. In proceedings of the 9th extended Semantic Web Conference ESWC, Crete, 2012.
Para preguntas sobre el conjunto de dato, contacte con: Andrés García-Silva";;;
Material utilizado en artículos;Efficient Inference-aware RDB2RDF Query Rewriting;"Esta página proporciona acceso a los ficheros para el artículo ""Inference-aware RDB2RDF Query Rewriting"". Los enlaces son estos:
-Casos de prueba de la FAO.https://oeg.fi.upm.es/delicias.dia.fi.upm.es/~jmora/qr4rdb2rdf/fao.zip
-Comparación entre modos de funcionamiento en el algoritmo. https://oeg.fi.upm.es/delicias.dia.fi.upm.es/~jmora/qr4rdb2rdf/tests-table4.zip
Explicación de los contenidos
Casos de prueba de la FAO
Los contenidos del archivo zip son un conjunto de casos de prueba, cada uno separado en un directorio distinto. Para cada caso de prueba se pueden encontrar los siguientes contenidos:
-El fichero de la ontología, necesario para la inferencia.
-El fichero de los mappings, especificado en R2O.
-El fichero de los mappings expresado en una forma más esquemática, para los lectores que no estén familiarizados con R2O.
-Un fichero de comparación, que contiene las diferencias entre la ontología y el fichero de los mappings. El artículo especifica el número de conceptos, object properties y datatype properties en la ontología, el número de los mismos que están cubiertos y también la cobertura como un porcentaje. La información presentada aquí está menos procesada y es más detallada. En estos ficheros se enumeran los elementos que están presentes en sólo uno de los dos ficheros, lo que permite comprobar los elementos específicos que causan la cobertura parcial de la ontología por parte de los mappings y posiblemente también viceversa.
Comparación de los modos de funcionamiento
Los contenidos del fichero zip están agrupados por el fichero de mappings utilizado para probar el algoritmo, ése es el significado de los cuatro directorios, atlas, bcn and egm para los ficheros de mappings Atlas, BCN200 y EGM que se corresponden con Hydrontology, l directorio phenom para Phenomenontology y el único fichero de mappings considerado para la evaluación con esta ontología en el artículo En cada uno de estos directorios los contenidos son equivalentes:
-Un fichero de ontología, Hydrontology para atlas, bcn y egm. Phenomenontology para phenom.
-Un fichero de mappings dependiendo de el directorio, uno entre Atlas, BCN200 y EGM o los mappings para Phenomenontology.
-Un fichero en texto plano con la consulta que se realiza al sistema, siempre nombrada como ""queries.txt"", la consulta es ""Q(?0) <- Aguas(?0)"" para los ejemplos con Hydrontology y ""Q(?0) <- Red(?0)"" para el ejemplo con Phenomenontology.
-Un conjunto de ficheros de texto conteniendo los resultados de la ejecución. Estos ficheros se corresponden con dos patrones diferentes:
-resXY.txt donde X es el modo de funcionamiento correspondiente con el sistema REQUIEM original e Y es el modo de funcionamiento correspondiente con los métodos de poda desarrollados en el contexto del artículo actual. Estos ficheros contienen la traza de ejecución con todas las cláusulas generadas en cada fase del algoritmo. Debido a la verbosidad para generar esta traza los tiempos de ejecución pueden variar ligeramente al compararlos con los tiempos descritos en el artículo.
-resRQMXY-0 donde X es el modo de funcionamiento correspondiente con el sistema REQUIEM original e Y es el modo de funcionamiento correspondiente con los métodos de poda desarrollados en el contexto del artículo actual. Los contenidos del fichero muestran la reescritura final obtenida además de información adicional referente al caso de prueba correspondiente.";;;
Material utilizado en artículos;Collaborative Ontology Editing Framework - Usability Survey;"Encuesta online en la siguiente página.https://www.oeg-upm.net/files/UsabilitySurvey/survey.htm

Guías, ficheros de configuración y resultados disponibles en el siguiente enlace.https://www.oeg-upm.net/files/material/experimentData.zip

Tesis Doctoral disponible en el siguiente enlace.https://www.oeg-upm.net/files/material/dissertation-RAP-Digital.pdf";;;
Benchmarks;Federated SPARQL query benchmark;"En el grupo OEG hemos diseñado un benchmark para evaluar la nueva funcionalidad para federar consultas SPARQL propuesta por el grupo del W3C, SPARQL-WG. Este benchmark utiliza consultas que son enviadas a varios SPARQL endpoints del proyecto Bio2RDF . Estas consultas han sido diseñadas en conjunto con expertos en biología del mismo proyecto, incrementando en complejidad una query básica, cubriendo así un mayor rango de consultas posibles.

Estas consultas primero acceden al SPARQL endpoint gene id, el cual contiene un conjunto de identificadores de genes. Estos identificadores los utilizamos en conjunto con los identificadores de los genes del repositorio Pubmed para obtener información acerca de unos descriptores. Estos descriptores pertenecen a la taxonomía MeSH, la cual es la taxonomía base del National Library of Medicine de los EEUU. Una vez tenemos esa taxonomía podemos completar la información he hemos recogido de esos 3 SPARQL endpoints y completarla con la información del endpoint HHPID el cual provee interacciones entre genes y el virus HIV.
Ficheros disponibles:
-https://oeg.fi.upm.es/files/sparql-dqp/mesh.sdb.n3.zip
-https://oeg.fi.upm.es/files/sparql-dqp/ncbi.gene2pubmed.n3.zip
-https://oeg.fi.upm.es/files/sparql-dqp/pubmedai.zip
-https://oeg.fi.upm.es/files/sparql-dqp/HHPID.tar
Semantics and optimization of the SPARQL 1.1 federation extension, Carlos Buil Aranda, Marcelo Arenas, Oscar Corcho. To appear in Extended Semantic Web Conference (ESWC2011), Semantic Data Management track, 2011.";;;
